t,x,y,z,dt,dx,dy,velocity_ms
0.0116,127.0999984741211,-2.0999999046325684,0.2697850465774536,,,,0.0
0.0176,127.0999984741211,-2.0999999046325684,0.2668774127960205,0.006000000000000002,0.0,0.0,0.0
0.0267,127.0999984741211,-2.0999999046325684,0.2662670612335205,0.0091,0.0,0.0,0.0
0.0362,127.0999984741211,-2.0999999046325684,0.2658437192440033,0.009500000000000001,0.0,0.0,0.0
0.0427,127.0999984741211,-2.0999999046325684,0.2598695456981659,0.006499999999999999,0.0,0.0,0.0
0.0519,127.0999984741211,-2.0999999046325684,0.2501058280467987,0.0092,0.0,0.0,0.0
0.061,127.0999984741211,-2.0999999046325684,0.2500064671039581,0.009099999999999997,0.0,0.0,0.0
0.0668,127.0999984741211,-2.0999999046325684,0.2499424666166305,0.0058,0.0,0.0,0.0
0.0767,127.0999984741211,-2.0999999046325684,0.2498341649770736,0.009900000000000006,0.0,0.0,0.0
0.0856,127.0999984741211,-2.0999999046325684,0.249736487865448,0.008899999999999991,0.0,0.0,0.0
0.0945,127.0999984741211,-2.0999999046325684,0.2496391981840133,0.008900000000000005,0.0,0.0,0.0
0.1007,127.0999984741211,-2.0999999046325684,0.2495715469121933,0.006199999999999997,0.0,0.0,0.0
0.1096,127.0999984741211,-2.0999999046325684,0.2494745552539825,0.008900000000000005,0.0,0.0,0.0
0.1187,127.0999984741211,-2.0999999046325684,0.2493749558925628,0.009099999999999997,0.0,0.0,0.0
0.1278,127.0999984741211,-2.0999999046325684,0.249274805188179,0.009099999999999997,0.0,0.0,0.0
0.1336,127.0999984741211,-2.0999999046325684,0.2492120116949081,0.0058,0.0,0.0,0.0
0.1428,127.0999984741211,-2.0999999046325684,0.2491107136011123,0.009200000000000014,0.0,0.0,0.0
0.1516,127.0999984741211,-2.0999999046325684,0.2490146607160568,0.008800000000000002,0.0,0.0,0.0
0.1606,127.0999984741211,-2.0999999046325684,0.2489165216684341,0.00899999999999998,0.0,0.0,0.0
0.1701,127.0999984741211,-2.0999999046325684,0.2488124072551727,0.009500000000000008,0.0,0.0,0.0
0.1756,127.0999984741211,-2.0999999046325684,0.2487525343894958,0.005500000000000005,0.0,0.0,0.0
0.1849,127.0999984741211,-2.0999999046325684,0.2486504167318344,0.009300000000000003,0.0,0.0,0.0
0.1938,127.0999984741211,-2.0999999046325684,0.2485522925853729,0.008899999999999991,0.0,0.0,0.0
0.2028,127.0999984741211,-2.0999999046325684,0.2484543323516845,0.009000000000000008,0.0,0.0,0.0
0.2092,127.0999984741211,-2.0999999046325684,0.2483837902545929,0.006399999999999989,0.0,0.0,0.0
0.2177,127.0999984741211,-2.0999999046325684,0.2482913732528686,0.008500000000000008,0.0,0.0,0.0
0.2267,127.0999984741211,-2.0999999046325684,0.2481923103332519,0.009000000000000008,0.0,0.0,0.0
0.2363,127.0999984741211,-2.0999999046325684,0.2480880320072174,0.009599999999999997,0.0,0.0,0.0
0.2417,127.0999984741211,-2.0999999046325684,0.2480281740427017,0.005399999999999988,0.0,0.0,0.0
0.2511,127.0999984741211,-2.0999999046325684,0.2479260265827179,0.009399999999999992,0.0,0.0,0.0
0.2598,127.0999984741211,-2.0999999046325684,0.2478309124708175,0.008699999999999986,0.0,0.0,0.0
0.2689,127.0999984741211,-2.0999999046325684,0.2477314323186874,0.009099999999999997,0.0,0.0,0.0
0.2753,127.0999984741211,-2.0999999046325684,0.2476613819599151,0.006400000000000017,0.0,0.0,0.0
0.2838,127.0999984741211,-2.0999999046325684,0.2475334256887436,0.008500000000000008,0.0,0.0,0.0
0.2931,127.0999984741211,-2.0999999046325684,0.2300390154123306,0.00930000000000003,0.0,0.0,0.0
0.3022,127.0999984741211,-2.0999999046325684,0.2130618095397949,0.009099999999999997,0.0,0.0,0.0
0.311,127.0999984741211,-2.0999999046325684,0.1964390128850937,0.008799999999999975,0.0,0.0,0.0
0.317,127.0999984741211,-2.0999999046325684,0.1852190345525741,0.006000000000000005,0.0,0.0,0.0
0.3258,127.0999984741211,-2.0999999046325684,0.1793548613786697,0.008799999999999975,0.0,0.0,0.0
0.3347,127.0999984741211,-2.0999999046325684,0.1766594797372818,0.008900000000000019,0.0,0.0,0.0
0.3437,127.0999984741211,-2.0999999046325684,0.1739503294229507,0.009000000000000008,0.0,0.0,0.0
0.3525,127.0999984741211,-2.0999999046325684,0.1713106632232666,0.008799999999999975,0.0,0.0,0.0
0.3589,127.0999984741211,-2.0999999046325684,0.1699429154396057,0.006400000000000017,0.0,0.0,0.0
0.3679,127.0999984741211,-2.0999999046325684,0.1681938171386718,0.009000000000000008,0.0,0.0,0.0
0.3768,127.0999984741211,-2.0999999046325684,0.1664619743824005,0.008900000000000019,0.0,0.0,0.0
0.3859,127.0999984741211,-2.0999999046325684,0.1646994352340698,0.009099999999999997,0.0,0.0,0.0
