t,x,y,z,dt,dx,dy,velocity_ms
0.009,127.0999984741211,-2.0999999046325684,0.264234721660614,,,,2.10917706829828e-06
0.0181,127.0999984741211,-2.0999999046325684,0.263104647397995,0.009100000000000002,0.0,0.0,2.0280548733637306e-06
0.0263,127.0999984741211,-2.0999999046325684,0.2630076110363006,0.008199999999999999,0.0,0.0,1.9529417299058145e-06
0.0356,127.0999984741211,-2.0999999046325684,0.2628958821296692,0.0093,0.0,0.0,1.883193810980607e-06
0.0456,127.0999984741211,-2.0999999046325684,0.2627758681774139,0.010000000000000002,0.0,0.0,1.818256093360586e-06
0.0541,127.0999984741211,-2.0999999046325684,0.2626746892929077,0.0085,0.0,0.0,1.7576475569152331e-06
0.0588,127.0999984741211,-2.0999999046325684,0.2626174986362457,0.004699999999999996,0.0,0.0,1.700949248627645e-06
0.0674,127.0999984741211,-2.0999999046325684,0.2625150680541992,0.008600000000000003,0.0,0.0,1.6477945846080311e-06
0.0765,127.0999984741211,-2.0999999046325684,0.2624060809612274,0.009099999999999997,0.0,0.0,1.5978614153774848e-06
0.0855,127.0999984741211,-2.0999999046325684,0.2622978389263153,0.009000000000000008,0.0,0.0,1.550865491395794e-06
0.0942,127.0999984741211,-2.0999999046325684,0.2621941566467285,0.0087,0.0,0.0,1.5065550487844856e-06
0.1034,127.0999984741211,-2.0999999046325684,0.2620837986469269,0.0092,0.0,0.0,1.464706297429361e-06
0.1124,127.0999984741211,-2.0999999046325684,0.261976033449173,0.008999999999999994,0.0,0.0,1.425119640742081e-06
0.117,127.0999984741211,-2.0999999046325684,0.2619217932224273,0.004600000000000007,0.0,0.0,1.3876164923014999e-06
0.126,127.0999984741211,-2.0999999046325684,0.261813759803772,0.008999999999999994,0.0,0.0,1.3520365822424872e-06
0.1349,127.0999984741211,-2.0999999046325684,0.2617074847221374,0.008899999999999991,0.0,0.0,1.318235667686425e-06
0.1439,127.0999984741211,-2.0999999046325684,0.2615989148616791,0.009000000000000008,0.0,0.0,1.2860835782306585e-06
0.153,127.0999984741211,-2.0999999046325684,0.2602279782295227,0.009099999999999997,0.0,0.0,1.255462540653738e-06
0.1627,127.0999984741211,-2.0999999046325684,0.2389533817768097,0.009700000000000014,0.0,0.0,1.2262657373827207e-06
0.1673,127.0999984741211,-2.0999999046325684,0.2289739549160003,0.004599999999999993,0.0,0.0,1.1983960615331135e-06
0.1761,127.0999984741211,-2.0999996662139893,0.2097435891628265,0.008800000000000002,0.0,2.384185791015625e-07,1.1717650379434889e-06
0.1853,127.0999984741211,-2.0999996662139893,0.1901845932006836,0.009199999999999986,0.0,0.0,1.1462918849447174e-06
0.1946,127.0999984741211,-2.0999999046325684,0.1839153617620468,0.009300000000000003,0.0,-2.384185791015625e-07,1.1219026959033402e-06
0.2038,127.0999984741211,-2.0999999046325684,0.177767813205719,0.009200000000000014,0.0,0.0,1.0985297230720208e-06
0.2126,127.0999984741211,-2.0999999046325684,0.1754479706287384,0.008800000000000002,0.0,0.0,1.0761107491317753e-06
0.2174,127.0999984741211,-2.0999999046325684,0.1742168217897415,0.004799999999999999,0.0,0.0,1.05458853414914e-06
0.2261,127.0999984741211,-2.0999999046325684,0.1719786971807479,0.008699999999999986,0.0,0.0,1.05458853414914e-06
0.2354,127.0999984741211,-2.0999999046325684,0.169695645570755,0.009300000000000003,0.0,0.0,1.05458853414914e-06
0.2445,127.0999984741211,-2.0999999046325684,0.167560338973999,0.009099999999999997,0.0,0.0,1.05458853414914e-06
0.2533,127.0999984741211,-2.0999999046325684,0.1659842431545257,0.00880000000000003,0.0,0.0,1.05458853414914e-06
0.2625,127.0999984741211,-2.0999999046325684,0.1643958240747451,0.009199999999999986,0.0,0.0,1.05458853414914e-06
0.2669,127.0999984741211,-2.0999999046325684,0.1638664007186889,0.004400000000000015,0.0,0.0,1.05458853414914e-06
0.2761,127.0999984741211,-2.0999999046325684,0.162734568119049,0.009199999999999986,0.0,0.0,1.05458853414914e-06
0.2853,127.0999984741211,-2.0999999046325684,0.1616015434265136,0.009199999999999986,0.0,0.0,1.05458853414914e-06
0.2939,127.0999984741211,-2.0999999046325684,0.1605640202760696,0.008599999999999997,0.0,0.0,1.05458853414914e-06
0.3033,127.0999984741211,-2.0999999046325684,0.1596435457468032,0.00940000000000002,0.0,0.0,1.05458853414914e-06
0.3123,127.0999984741211,-2.0999999046325684,0.159121960401535,0.009000000000000008,0.0,0.0,1.05458853414914e-06
0.3169,127.0999984741211,-2.0999999046325684,0.1588553637266159,0.004599999999999993,0.0,0.0,1.05458853414914e-06
0.3258,127.0999984741211,-2.0999999046325684,0.1583340018987655,0.008899999999999963,0.0,0.0,1.05458853414914e-06
0.3346,127.0999984741211,-2.0999999046325684,0.1577637195587158,0.00880000000000003,0.0,0.0,1.05458853414914e-06
0.3438,127.0999984741211,-2.0999999046325684,0.1571672260761261,0.009199999999999986,0.0,0.0,1.05458853414914e-06
0.3529,127.0999984741211,-2.0999999046325684,0.1566792577505111,0.009099999999999997,0.0,0.0,1.05458853414914e-06
0.3618,127.0999984741211,-2.0999999046325684,0.1563891917467117,0.008900000000000019,0.0,0.0,1.05458853414914e-06
0.3709,127.0999984741211,-2.0999999046325684,0.1560908704996109,0.009099999999999997,0.0,0.0,1.05458853414914e-06
0.3753,127.0999984741211,-2.0999999046325684,0.1559480130672454,0.004400000000000015,0.0,0.0,1.05458853414914e-06
0.3845,127.0999984741211,-2.0999999046325684,0.1556307673454284,0.009199999999999986,0.0,0.0,1.05458853414914e-06
