property,x,y,z
STOP,-8930,-430,30
SZ,-3370,-5500,20
SL25 25 ,-1200,-5530,20
SZ,1770,-5530,20
JEEP,2340,-6320,0
SL50,2730,-5590,20
CAR,15160,-840,0
BARRIERS,14380,-360,20
BUS STOP,-5570,5130,20
TRUCK,-7427.829,5073.8105,0.000061
PED,-7210,4590,93
PED,-7130,4270,113
PED,-7290,4370,113
PED,-7480,4490,92.999985
PED,-7710,4510,93
CAR,-8140,4460,0
CAR,-8680,3940,0
CAR,-9110,3230,0
