zone,x1,y1,x2,y2
1,0, -3,-110,10
2,-110,-3,-33.7,-65
3,-33.7,-50,17.7,-65
4,17.7,-50,100,-65
5,100,-65,155,-30
6,132,-30,155,30
7,155,30,100,65
8,100,65,-40,40
