TimeStep,PosX,PosY,PosZ,VelX,VelY,VelZ
3401,72.87322235107422,56.70698165893555,0.02875984087586403,-29.53898811340332,1.6766507625579834,-0.40087950229644775
3402,72.57756805419922,56.72566604614258,0.024438971653580666,-29.504398345947266,1.6424639225006104,-0.3667568564414978
3403,72.28229522705078,56.74349594116211,0.02080940268933773,-29.4768123626709,1.6072231531143188,-0.31135088205337524
3404,71.98735809326172,56.76064682006836,0.017757263034582138,-29.451908111572266,1.5744073390960693,-0.2638985514640808
3405,71.69274139404297,56.777259826660156,0.015190276317298412,-29.429019927978516,1.543216347694397,-0.2231624722480774
3406,71.39836883544922,56.79341125488281,0.013033675961196423,-29.408620834350586,1.513116717338562,-0.18814414739608765
3407,71.10423278808594,56.80915069580078,0.011223945766687393,-29.391159057617188,1.4837671518325806,-0.15804895758628845
3408,70.81027221679688,56.824501037597656,0.009709243662655354,-29.37712860107422,1.4531103372573853,-0.1321927011013031
3409,70.51644897460938,56.83949279785156,0.00844444241374731,-29.365882873535156,1.4235422611236572,-0.10998024046421051
3410,70.22274017333984,56.85414505004883,0.007392921485006809,-29.35677146911621,1.394338846206665,-0.09089995920658112
3411,69.92913055419922,56.86845397949219,0.006522979587316513,-29.349218368530273,1.3654450178146362,-0.07453929632902145
3412,69.6355972290039,56.8824462890625,0.005807571113109589,-29.34279441833496,1.3368308544158936,-0.060527123510837555
3413,69.34212493896484,56.89613723754883,0.005213088821619749,-29.33719253540039,1.309447169303894,-0.050034645944833755
3414,69.04873657226562,56.90953063964844,0.0047205351293087006,-29.332204818725586,1.2821896076202393,-0.041163306683301926
3415,68.75538635253906,56.92261505126953,0.004314537160098553,-29.327693939208984,1.2535269260406494,-0.03356759622693062
3416,68.46209716796875,56.935394287109375,0.003982353024184704,-29.323505401611328,1.2256572246551514,-0.02707807905972004
3417,68.16885375976562,56.94786834716797,0.003712882986292243,-29.3195858001709,1.198033332824707,-0.021542439237236977
3418,67.87564849853516,56.96004867553711,0.00349674210883677,-29.315879821777344,1.1707390546798706,-0.01683233305811882
3419,67.58248138427734,56.97193908691406,0.003321685828268528,-29.312345504760742,1.1444745063781738,-0.013105181977152824
3420,67.28935241699219,56.983558654785156,0.0031666564755141735,-29.308950424194336,1.1187106370925903,-0.01104484498500824
3421,66.99625396728516,56.994911193847656,0.0030297087505459785,-29.3056640625,1.0931987762451172,-0.009277906268835068
3422,66.70317840576172,57.00597381591797,0.0029084014240652323,-29.302494049072266,1.0666223764419556,-0.007764911279082298
3423,66.41014862060547,57.01676940917969,0.002801170339807868,-29.29941177368164,1.0409111976623535,-0.00646705599501729
3424,66.11714172363281,57.02729034423828,0.002706069964915514,-29.296422958374023,1.0155868530273438,-0.005356235429644585
3425,65.82416534423828,57.03754425048828,0.0026222991291433573,-29.29352378845215,0.9907229542732239,-0.004407186526805162
3426,65.5312271118164,57.04752731323242,0.0025479125324636698,-29.290706634521484,0.966343343257904,-0.003603706369176507
3427,65.2383041381836,57.0572509765625,0.00248203263618052,-29.287965774536133,0.9424684047698975,-0.0029175851959735155
3428,64.94541931152344,57.06672286987305,0.0024237441830337048,-29.285297393798828,0.9191169738769531,-0.0023355484008789062
3429,64.65254974365234,57.07593536376953,0.002371902344748378,-29.28270721435547,0.895081639289856,-0.001845130929723382
3430,64.3597183227539,57.08490753173828,0.0023259734734892845,-29.28017234802246,0.8720510601997375,-0.0014313316205516458
3431,64.06690979003906,57.093631744384766,0.0022850418463349342,-29.277706146240234,0.8495779037475586,-0.0010845852084457874
3432,63.77412033081055,57.10212326049805,0.002248382428660989,-29.27530288696289,0.827708899974823,-0.000793409300968051
3433,63.481361389160156,57.11038589477539,0.002215690677985549,-29.2729549407959,0.8064489364624023,-0.0005486774607561529
3434,63.18863296508789,57.11842727661133,0.0021865081507712603,-29.270666122436523,0.785801887512207,-0.0003475570701994002
3435,62.89591598510742,57.12624740600586,0.0021601866465061903,-29.268428802490234,0.7657705545425415,-0.00018237113545183092
3436,62.60322952270508,57.13385772705078,0.002136840717867017,-29.26625633239746,0.745255708694458,-4.5347213017521426e-05
3437,62.31056594848633,57.141258239746094,0.0021153257694095373,-29.26412582397461,0.7257606983184814,6.140708865132183e-05
3438,62.01791763305664,57.148460388183594,0.0020962904673069715,-29.262046813964844,0.7068697214126587,0.00015563011402264237
3439,61.72529220581055,57.15547180175781,0.002078742953017354,-29.260019302368164,0.6886143088340759,0.0002217388100689277
3440,61.43269348144531,57.16229248046875,0.002063178922981024,-29.25803565979004,0.6709848642349243,0.00027994156698696315
3441,61.14011764526367,57.1689338684082,0.002048759488388896,-29.2560977935791,0.6539735198020935,0.0003184318484272808
3442,60.84755325317383,57.17540740966797,0.002035713056102395,-29.25420379638672,0.6375703811645508,0.0003498077276162803
3443,60.55500793457031,57.18170166015625,0.0020237350836396217,-29.252355575561523,0.6207718253135681,0.0003721237007994205
3444,60.262489318847656,57.18783187866211,0.0020128630567342043,-29.25054359436035,0.6049253344535828,0.0003835773386526853
3445,59.96998977661133,57.19380569458008,0.0020026396960020065,-29.248775482177734,0.5896448493003845,0.0003913783875759691
3446,59.6775016784668,57.199623107910156,0.0019934463780373335,-29.24704933166504,0.5749470591545105,0.00039505958557128906
3447,59.385032653808594,57.20530319213867,0.001984825124964118,-29.245363235473633,0.5608161091804504,0.0003938388836104423
3448,59.09258270263672,57.21083450317383,0.0019768141210079193,-29.243715286254883,0.5472343564033508,0.0003889179206453264
3449,58.80014419555664,57.21622848510742,0.0019692610949277878,-29.24210548400879,0.5341863036155701,0.0003808402980212122
3450,58.507728576660156,57.221492767333984,0.001962585374712944,-29.240535736083984,0.5207531452178955,0.00037296293885447085
3451,58.21532440185547,57.22663116455078,0.001956138527020812,-29.23900032043457,0.5081493854522705,0.0003601455537136644
3452,57.922943115234375,57.23163986206055,0.0019501113565638661,-29.237504959106445,0.4960184395313263,0.0003473853867035359
3453,57.63057327270508,57.23653030395508,0.0019444655627012253,-29.23604393005371,0.48436927795410156,0.00033503532176837325
3454,57.33822250366211,57.24130630493164,0.0019393920665606856,-29.234619140625,0.4731815755367279,0.00032239913707599044
3455,57.04587936401367,57.245975494384766,0.0019343184540048242,-29.233224868774414,0.4624353349208832,0.0003034305409528315
3456,56.75354766845703,57.25054168701172,0.0019296264508739114,-29.231863021850586,0.4521111249923706,0.00029302595066837966
