TimeStep,PosX,PosY,PosZ,VelX,VelY,VelZ
1855,-55.13125991821289,-56.94953918457031,0.0017017745412886143,20.389102935791016,-5.198957920074463,-1.306533818024036e-06
1856,-54.927337646484375,-57.002044677734375,0.0017028426518663764,20.420644760131836,-5.130013465881348,-9.632110504753655e-07
1857,-54.72309494018555,-57.05385971069336,0.0017037963261827826,20.45191192626953,-5.061224460601807,-2.9850004921172513e-06
1858,-54.51853942871094,-57.10498809814453,0.0017047119326889515,20.483043670654297,-4.992603302001953,-3.14712519866589e-06
1859,-54.31367111206055,-57.15543746948242,0.0017056274227797985,20.51386833190918,-4.924095630645752,-1.802444444365392e-06
1860,-54.108489990234375,-57.20519256591797,0.001706619281321764,20.544111251831055,-4.855666637420654,-2.0503996438492322e-06
1861,-53.903011322021484,-57.25426483154297,0.0017074203351512551,20.573699951171875,-4.787293910980225,-3.938675035897177e-06
1862,-53.697235107421875,-57.30265426635742,0.001708297641016543,20.602840423583984,-4.719009876251221,-5.722045557376987e-07
1863,-53.49116134643555,-57.35030746459961,0.0017094039358198643,20.632266998291016,-4.64525032043457,1.335144048653092e-07
1864,-53.284793853759766,-57.39725112915039,0.0017103576101362705,20.66126251220703,-4.574314594268799,-7.24792471373803e-07
1865,-53.078128814697266,-57.44349670410156,0.0017112350324168801,20.69059944152832,-4.5037522315979,-1.2111663636460435e-06
1866,-52.87116622924805,-57.489036560058594,0.0017120742704719305,20.71961212158203,-4.433405876159668,-9.91821252682712e-07
1867,-52.66392517089844,-57.533870697021484,0.0017129515763372183,20.74755859375,-4.363117694854736,-1.0013579867518274e-06
1868,-52.45640563964844,-57.5780029296875,0.0017138671828433871,20.77443504333496,-4.292874813079834,-1.983642505365424e-06
1869,-52.24861526489258,-57.62142562866211,0.0017147826729342341,20.80091094970703,-4.222790718078613,-2.1266937437758315e-06
1870,-52.04055404663086,-57.66415023803711,0.0017156600952148438,20.827550888061523,-4.152960300445557,-1.4019011587151908e-06
1871,-51.83222198486328,-57.70616912841797,0.0017165755853056908,20.854372024536133,-4.083376884460449,-7.534026735811494e-07
1872,-51.62361526489258,-57.74746322631836,0.0017174148233607411,20.88098907470703,-4.010246753692627,-2.918243353633443e-06
1873,-51.41475296020508,-57.78804397583008,0.0017182158771902323,20.906524658203125,-3.9389970302581787,-2.365112322877394e-06
1874,-51.20563507080078,-57.82791519165039,0.0017190551152452826,20.931684494018555,-3.8680219650268555,-1.449584942747606e-06
1875,-50.99625778198242,-57.867069244384766,0.0017197799170389771,20.95675277709961,-3.797353982925415,-1.1348723774062819e-06
1876,-50.78663635253906,-57.905521392822266,0.0017206191550940275,20.98165512084961,-3.7269656658172607,1.697540255918284e-06
1877,-50.57675552368164,-57.943260192871094,0.0017216490814462304,21.006061553955078,-3.6567986011505127,2.136230477844947e-06
1878,-50.366634368896484,-57.98030090332031,0.0017222213791683316,21.029762268066406,-3.586817502975464,-2.19345088225964e-06
1879,-50.15627670288086,-58.01663589477539,0.0017230986850336194,21.052898406982422,-3.517035484313965,7.629394076502649e-07
1880,-49.94568634033203,-58.05226516723633,0.0017238998552784324,21.075782775878906,-3.447500467300415,1.039505036715127e-06
1881,-49.73486328125,-58.08717727661133,0.0017247390933334827,21.098644256591797,-3.376164674758911,1.8596648487800849e-06
1882,-49.52381134033203,-58.12138366699219,0.0017255401471629739,21.121206283569336,-3.3061625957489014,1.5258788153005298e-06
