TimeStep,PosX,PosY,PosZ,VelX,VelY,VelZ
2017,-5.563586711883545,-58.00701141357422,0.001401443500071764,21.96088409423828,-0.19028814136981964,1.5449523971255985e-06
2018,-5.343376159667969,-58.00890350341797,0.0014008712023496628,22.020910263061523,-0.19375264644622803,4.2915343101412873e-07
2019,-5.122565746307373,-58.010833740234375,0.0014000701485201716,22.080951690673828,-0.19719241559505463,-2.4986265998450108e-06
2020,-4.901154041290283,-58.01279830932617,0.0013993453467264771,22.141008377075195,-0.2004735916852951,-1.5163420812314143e-06
2021,-4.679141998291016,-58.014793395996094,0.0013986969133839011,22.201074600219727,-0.2037784308195114,-4.863738922722405e-07
2022,-4.45652961730957,-58.01682662963867,0.0013980483636260033,22.261146545410156,-0.2070559710264206,-3.8146970382513246e-07
2023,-4.233316421508789,-58.018890380859375,0.0013974379980936646,22.32122802734375,-0.21030479669570923,-5.722045557376987e-07
2024,-4.009501934051514,-58.0209846496582,0.0013968658167868853,22.381315231323242,-0.21352462470531464,7.534026735811494e-07
2025,-3.7850868701934814,-58.02311325073242,0.0013963698875159025,22.44140625,-0.21671460568904877,-8.869171210790228e-07
2026,-3.560070753097534,-58.02527618408203,0.0013958739582449198,22.50149917602539,-0.21987386047840118,-1.182556161438697e-06
2027,-3.33445405960083,-58.027469635009766,0.0013954162131994963,22.561594009399414,-0.22285903990268707,-5.245208853921213e-07
2028,-3.108236312866211,-58.02969741821289,0.0013948822161182761,22.621686935424805,-0.22586789727210999,-1.7642973944020923e-06
2029,-2.881417751312256,-58.03195571899414,0.0013944243546575308,22.681779861450195,-0.22884437441825867,-1.8692015828492003e-06
2030,-2.653998374938965,-58.03424835205078,0.0013940047938376665,22.741867065429688,-0.23178797960281372,-3.337860050578456e-07
2031,-2.4259777069091797,-58.03656005859375,0.0013937377370893955,22.801952362060547,-0.23469799757003784,5.149840944795869e-07
2032,-2.197356700897217,-58.03891372680664,0.001393127371557057,22.862030029296875,-0.23757390677928925,-3.900527644873364e-06
2033,-1.968134880065918,-58.04128646850586,0.0013927840627729893,22.922103881835938,-0.24027501046657562,-4.768371297814156e-08
2034,-1.7383124828338623,-58.04369354248047,0.0013924789382144809,22.982168197631836,-0.24299578368663788,5.149840944795869e-07
2035,-1.5078896284103394,-58.04612350463867,0.0013921736972406507,23.04222297668457,-0.24568133056163788,-6.67572024326546e-08
2036,-1.2768663167953491,-58.048583984375,0.0013918685726821423,23.102272033691406,-0.24833104014396667,-1.3542174883696134e-06
2037,-1.0452425479888916,-58.05107116699219,0.001391563331708312,23.162309646606445,-0.250944048166275,-4.0054320038507285e-07
2038,-0.8130185008049011,-58.05358123779297,0.0013914488954469562,23.222335815429688,-0.25352007150650024,-3.7193296975601697e-07
2039,-0.5801945924758911,-58.056121826171875,0.0013909530825912952,23.282350540161133,-0.2560586631298065,-3.919601567758946e-06
2040,-0.34677034616470337,-58.058685302734375,0.0013909530825912952,23.342355728149414,-0.25842365622520447,1.8119811784345075e-07
2041,-0.11274655908346176,-58.06127166748047,0.00139049522113055,23.402345657348633,-0.2608046233654022,-3.747939899767516e-06
2042,0.12187720835208893,-58.06388473510742,0.001390380784869194,23.462324142456055,-0.2631489336490631,1.2493132999225054e-06
2043,0.3571004867553711,-58.0665283203125,0.0013901519123464823,23.52228546142578,-0.26545533537864685,-1.4400482086784905e-06
2044,0.5929233431816101,-58.069183349609375,0.0013901519123464823,23.582233428955078,-0.2677232325077057,1.077651972991589e-06
2045,0.8293454051017761,-58.071868896484375,0.0013899230398237705,23.64216423034668,-0.26995325088500977,-3.5572052183852065e-06
2046,1.0663665533065796,-58.0745735168457,0.0013897704193368554,23.70208168029785,-0.27201932668685913,-1.678466787780053e-06
2047,1.3039864301681519,-58.07729721069336,0.0013895034790039062,23.761981964111328,-0.27409717440605164,-1.7738342421580455e-06
2048,1.5422054529190063,-58.08005142211914,0.0013893508585169911,23.82186508178711,-0.27613750100135803,9.536742595628311e-08
2049,1.7810232639312744,-58.08282470703125,0.0013892746064811945,23.881731033325195,-0.2781476676464081,1.6212462696785224e-06
2050,2.0204391479492188,-58.08561325073242,0.001389198238030076,23.941579818725586,-0.28011077642440796,-1.344680754300498e-06
2051,2.260453462600708,-58.08842468261719,0.001389198238030076,24.001407623291016,-0.2820417582988739,3.337860050578456e-07
2052,2.501065731048584,-58.09125518798828,0.0013890838017687201,24.061220169067383,-0.2839277982711792,-2.365112322877394e-06
2053,2.7422759532928467,-58.0941047668457,0.0013890075497329235,24.121015548706055,-0.28566089272499084,-2.7847288492921507e-06
2054,2.984084129333496,-58.09696960449219,0.0013888931134715676,24.180789947509766,-0.2874026894569397,-1.926422100950731e-06
2055,3.226489543914795,-58.099857330322266,0.0013888549292460084,24.24054718017578,-0.28910791873931885,-1.344680754300498e-06
2056,3.4694924354553223,-58.10276412963867,0.0013886642409488559,24.300283432006836,-0.2907761037349701,-5.149840944795869e-07
2057,3.713092565536499,-58.10567855834961,0.0013886642409488559,24.359996795654297,-0.2924072742462158,1.554489131194714e-06
2058,3.957289457321167,-58.10861587524414,0.0013887404929846525,24.41969108581543,-0.294001966714859,3.1757354008732364e-06
2059,4.202082633972168,-58.11156463623047,0.0013886642409488559,24.47931671142578,-0.2955610454082489,-8.773803301664884e-07
2060,4.447471618652344,-58.11452865600586,0.0013888931134715676,24.53887367248535,-0.2970162034034729,8.48770127959142e-07
2061,4.693455696105957,-58.11750793457031,0.0013888549292460084,24.598407745361328,-0.29843801259994507,-2.880096417356981e-06
2062,4.940034866333008,-58.120506286621094,0.0013888549292460084,24.657926559448242,-0.2998262643814087,-1.3542174883696134e-06
2063,5.187208652496338,-58.12351989746094,0.0013888931134715676,24.71742820739746,-0.3011804223060608,-1.0490417707842425e-06
2064,5.434978008270264,-58.12654495239258,0.0013889312976971269,24.776912689208984,-0.3025006651878357,-2.0217894416418858e-06
2065,5.683341026306152,-58.12957763671875,0.0013887786772102118,24.836381912231445,-0.30369967222213745,-8.773803301664884e-07
2066,5.9322991371154785,-58.13262939453125,0.0013888549292460084,24.895830154418945,-0.30486825108528137,1.1920928955078125e-06
2067,6.181851863861084,-58.13569259643555,0.0013890075497329235,24.95526123046875,-0.30604028701782227,1.9550323031580774e-06
2068,6.431998252868652,-58.138763427734375,0.0013891219859942794,25.014673233032227,-0.3071802258491516,5.912780807193485e-07
