time,x,y,z,velocity,speed_limit
111.8541,-9.7636,-0.9635,0.1542,37.169752655538,20.2033455596681
111.8721,-9.9107,-0.9632,0.1542,37.0675487433612,20.2033455596681
111.8812,-9.9847,-0.9631,0.1542,37.0675487433612,20.2033455596681
111.899,-10.1301,-0.9628,0.1542,28.9686878899442,20.2033455596681
111.9176,-10.3558,-0.9624,0.1542,28.4159512731332,20.2033455596681
111.9441,-10.4963,-0.9621,0.1542,28.4159512731332,20.2033455596681
111.9628,-10.6479,-0.9618,0.1542,28.2691158277109,20.2033455596681
111.9838,-10.8171,-0.9615,0.1542,28.2691158277109,20.2033455596681
111.9963,-10.9181,-0.9613,0.1542,28.4754937040606,20.2033455596681
112.014,-10.9888,-0.9611,0.1542,28.4754937040606,20.2033455596681
112.032,-11.2065,-0.9607,0.1543,29.1556464034793,20.2033455596681
112.0418,-11.2856,-0.9605,0.1543,29.1556464034793,20.2033455596681
112.0604,-11.4352,-0.9603,0.1543,28.8030584927351,20.2033455596681
112.0692,-11.5789,-0.96,0.1543,29.3320144511501,20.2033455596681
112.0875,-11.6533,-0.9598,0.1543,29.3320144511501,20.2033455596681
112.1049,-11.7924,-0.9596,0.1543,28.6650024650062,20.2033455596681
112.1141,-11.8664,-0.9594,0.1543,28.6650024650062,20.2033455596681
112.1424,-12.0932,-0.959,0.1543,28.0707439423387,20.2033455596681
112.1615,-12.2468,-0.9587,0.1543,25.304579970323,20.2033455596681
112.1799,-12.3217,-0.9585,0.1543,25.304579970323,20.2033455596681
112.1898,-12.474,-0.9582,0.1543,25.7196555154376,20.2033455596681
112.1993,-12.551,-0.9581,0.1543,25.7196555154376,20.2033455596681
112.2181,-12.7019,-0.9578,0.1543,29.8874258757864,20.2033455596681
112.238,-12.8612,-0.9575,0.1543,29.8874258757864,20.2033455596681
112.2566,-13.0116,-0.9572,0.1542,31.5050416605492,20.2033455596681
112.2661,-13.0884,-0.957,0.1542,31.5050416605492,20.2033455596681
112.285,-13.241,-0.9568,0.1542,24.6572202306931,20.2033455596681
112.3029,-13.3863,-0.9565,0.1542,23.4600043090219,20.2033455596681
112.3168,-13.4995,-0.9563,0.1542,23.4600043090219,20.2033455596681
112.3351,-13.6482,-0.956,0.1542,25.9425507725817,20.2033455596681
112.3441,-13.7212,-0.9558,0.1542,25.9425507725817,20.2033455596681
112.3624,-13.8699,-0.9555,0.1542,30.3245372843072,20.2033455596681
112.3718,-13.9461,-0.9554,0.1542,30.3245372843072,20.2033455596681
112.3912,-14.1025,-0.9551,0.1542,29.893345983073,20.2033455596681
112.4119,-14.2705,-0.9548,0.1542,24.0586129862394,20.2033455596681
112.423,-14.3603,-0.9546,0.1542,24.0586129862394,20.2033455596681
112.4475,-14.466,-0.9544,0.1542,24.0586129862394,20.2033455596681
112.4594,-14.656,-0.954,0.1542,23.4001061211101,20.2033455596681
112.4708,-14.7489,-0.9538,0.1542,24.1933097982105,20.2033455596681
112.4891,-14.8978,-0.9535,0.1542,26.8004886783374,20.2033455596681
112.5022,-15.0043,-0.9533,0.1542,26.8004886783374,20.2033455596681
112.5274,-15.1049,-0.9531,0.1542,27.0399302351809,20.2033455596681
112.5405,-15.3169,-0.9527,0.1542,27.0399302351809,20.2033455596681
112.5499,-15.3935,-0.9526,0.1542,27.6772099326019,20.2033455596681
112.5753,-15.5998,-0.9522,0.1542,28.7954037366113,20.2033455596681
112.5886,-15.7075,-0.952,0.1542,28.7954037366113,20.2033455596681
112.5977,-15.7817,-0.9518,0.1542,28.7954037366113,20.2033455596681
112.6259,-16.01,-0.9514,0.1542,28.9728417584184,20.2033455596681
112.6353,-16.1579,-0.9511,0.1543,26.9879438987349,20.2033455596681
112.6718,-16.4506,-0.9505,0.1543,26.4716721340617,20.2033455596681
112.699,-16.5968,-0.9502,0.1543,26.8907708898554,20.2033455596681
112.7179,-16.748,-0.9499,0.1543,26.4583970069975,20.2033455596681
112.7368,-16.8988,-0.9497,0.1543,26.4596498302731,20.2033455596681
112.7465,-16.9758,-0.9495,0.1543,26.4596498302731,20.2033455596681
112.7651,-17.1238,-0.9492,0.1543,26.3308529410153,20.2033455596681
112.7835,-17.2701,-0.9489,0.1543,26.3308529410153,20.2033455596681
112.7977,-17.3832,-0.9487,0.1543,24.7554595591365,20.2033455596681
112.8117,-17.4947,-0.9485,0.1543,24.7554595591365,20.2033455596681
112.8212,-17.5707,-0.9483,0.1543,25.1168130143624,20.2033455596681
