time,x,y,z,velocity,speed_limit
92.361,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.3822,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.3936,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4151,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4271,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4482,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4599,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4712,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.4933,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5161,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5275,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5404,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5507,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5667,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5829,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.5976,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6248,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6378,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6502,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6637,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6788,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.6934,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.7064,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.734,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.7475,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.7612,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.7738,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.798,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.8094,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.831,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.8425,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.853,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.8671,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.8964,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9129,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9242,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9354,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9496,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9648,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
92.9923,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0057,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0186,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0313,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0574,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0702,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.083,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.0967,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.1103,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.1233,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.149,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.1629,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.1752,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2128,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2258,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2475,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2603,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2737,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.2872,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3008,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.316,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3398,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3544,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3647,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3871,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.3976,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.421,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.432,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.4433,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.4584,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.4882,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.5034,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.5309,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.5449,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.5687,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.5859,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.6159,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.6276,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.6434,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
93.6686,127.1,-2.1,0.1538,0.00349406538339133,28.371790755898
