TimeStep,PosX,PosY,PosZ,VelX,VelY,VelZ
3287,89.9517593383789,57.866092681884766,0.001389198238030076,-28.3746280670166,1.0177358388900757,1.7356871467200108e-05
3288,89.66741180419922,57.87617874145508,0.0013885498046875,-28.432613372802734,0.9295681715011597,1.795768730517011e-05
3289,89.38247680664062,57.88539123535156,0.0013881683116778731,-28.491003036499023,0.8472614884376526,1.910209539346397e-05
3290,89.09696960449219,57.89373016357422,0.0013874816941097379,-28.54907989501953,0.7652844786643982,1.8606186131364666e-05
3291,88.81087493896484,57.901214599609375,0.0013868713285773993,-28.607057571411133,0.6848018765449524,1.9998549760202877e-05
3292,88.52420806884766,57.90787124633789,0.0013863372150808573,-28.664936065673828,0.6057683825492859,2.0561217752401717e-05
3293,88.2369613647461,57.91370391845703,0.0013857268495485187,-28.722721099853516,0.5281908512115479,2.252578633488156e-05
3294,87.94914245605469,57.91873550415039,0.0013852310366928577,-28.78042221069336,0.4520753026008606,2.3899077859823592e-05
3295,87.6607437133789,57.922977447509766,0.0013846969231963158,-28.83804702758789,0.37742218375205994,2.6273726689396426e-05
3296,87.37175750732422,57.92648696899414,0.0013842391781508923,-28.896202087402344,0.30972161889076233,2.687454252736643e-05
3297,87.08220672607422,57.92927932739258,0.0013838195009157062,-28.954105377197266,0.24230408668518066,2.7036665414925665e-05
3298,86.79206848144531,57.93136978149414,0.0013833999400958419,-29.011972427368164,0.17643873393535614,2.8333663067314774e-05
3299,86.5013656616211,57.932777404785156,0.0013829802628606558,-29.069820404052734,0.11232803761959076,2.8896331059513614e-05
3300,86.21007537841797,57.93351745605469,0.0013825607020407915,-29.12764549255371,0.04983540251851082,2.8581618607859127e-05
3301,85.918212890625,57.93361282348633,0.0013822173932567239,-29.185447692871094,-0.01103817205876112,3.0193328711902723e-05
3302,85.62577056884766,57.93307876586914,0.0013818740844726562,-29.243234634399414,-0.07029622048139572,2.8896331059513614e-05
3303,85.3327407836914,57.93198013305664,0.0013815307756885886,-29.301557540893555,-0.12209827452898026,3.033637949556578e-05
3304,85.03914642333984,57.93033218383789,0.0013813781552016735,-29.35968589782715,-0.17363059520721436,3.1356812542071566e-05
3305,84.74495697021484,57.92814636230469,0.00138092041015625,-29.417831420898438,-0.22338734567165375,2.8934478905284777e-05
3306,84.45020294189453,57.92544937133789,0.0013807296054437757,-29.47597885131836,-0.27147310972213745,3.2005307730287313e-05
3307,84.15486145019531,57.92225646972656,0.0013804244808852673,-29.534130096435547,-0.31788894534111023,3.237724376958795e-05
3308,83.85893249511719,57.918582916259766,0.0013804626651108265,-29.59228515625,-0.36264529824256897,3.240585283492692e-05
3309,83.56243896484375,57.91445541381836,0.001380233676172793,-29.650497436523438,-0.4050966501235962,2.904891880461946e-05
3310,83.26535034179688,57.9099006652832,0.0013800429878756404,-29.708709716796875,-0.44589388370513916,3.0403136406675912e-05
3311,82.96768188476562,57.904964447021484,0.0013799285516142845,-29.7672176361084,-0.48117291927337646,3.1585692340740934e-05
3312,82.66941833496094,57.89967346191406,0.0013798141153529286,-29.825735092163086,-0.5142163634300232,3.2024381653172895e-05
3313,82.37059020996094,57.89402770996094,0.0013797759311273694,-29.88419532775879,-0.5462707877159119,3.1385421607410535e-05
3314,82.0711669921875,57.888065338134766,0.0013796614948660135,-29.942657470703125,-0.5767666101455688,3.1356812542071566e-05
3315,81.77117156982422,57.88178634643555,0.0013797759311273694,-30.001115798950195,-0.6057246923446655,3.281593308201991e-05
3316,81.4705810546875,57.875267028808594,0.0013798522995784879,-30.05984878540039,-0.6280430555343628,2.826690615620464e-05
3317,81.16940307617188,57.86850357055664,0.0013799667358398438,-30.11847496032715,-0.6501272320747375,2.7933119781664573e-05
3318,80.86764526367188,57.86151123046875,0.0013799667358398438,-30.177093505859375,-0.6706629991531372,2.7570724341785535e-05
3319,80.56529235839844,57.85432052612305,0.0013801956083625555,-30.235694885253906,-0.6896670460700989,2.86102294921875e-05
3320,80.26235961914062,57.84693145751953,0.001380119239911437,-30.29427146911621,-0.7072754502296448,2.577781560830772e-05
3321,79.95884704589844,57.83937454223633,0.0013804244808852673,-30.352821350097656,-0.7235170006752014,2.693176247703377e-05
3322,79.65474700927734,57.83165740966797,0.0013806151691824198,-30.411338806152344,-0.7384271025657654,2.6426314434502274e-05
3323,79.35005950927734,57.8238410949707,0.0013808822259306908,-30.469982147216797,-0.747570812702179,2.4585722712799907e-05
3324,79.04478454589844,57.81592559814453,0.0013809966621920466,-30.528541564941406,-0.7565823197364807,2.4080276489257812e-05
3325,78.73892974853516,57.80792236328125,0.0013812637189403176,-30.58708381652832,-0.7635084390640259,2.409934859315399e-05
3326,78.43247985839844,57.79985809326172,0.0013817596482113004,-30.64555549621582,-0.7701439261436462,2.269744800287299e-05
3327,78.12545013427734,57.7917366027832,0.0013818740844726562,-30.704002380371094,-0.7747352719306946,1.8224714949610643e-05
3328,77.8178482055664,57.7835693359375,0.001382370013743639,-30.762374877929688,-0.779217004776001,2.2344589524436742e-05
3329,77.5096435546875,57.775394439697266,0.0013827133225277066,-30.820762634277344,-0.7790593504905701,1.799583333195187e-05
3330,77.20086669921875,57.76722717285156,0.001383018447086215,-30.87908363342285,-0.7788233160972595,1.529693508928176e-05
3331,76.8915023803711,57.75906753540039,0.0013834381243214011,-30.937345504760742,-0.7775992155075073,1.7051695976988412e-05
3332,76.58155822753906,57.75093078613281,0.001383933937177062,-30.995548248291016,-0.7754191160202026,1.6851425243658014e-05
3333,76.27102661132812,57.74282455444336,0.0013843917986378074,-31.053688049316406,-0.7724035382270813,1.449584942747606e-05
3334,75.95992279052734,57.73477554321289,0.001384735107421875,-31.111774444580078,-0.7677452564239502,1.2054442777298391e-05
3335,75.64823150634766,57.726776123046875,0.0013851546682417393,-31.169790267944336,-0.7632018327713013,1.1701583389367443e-05
3336,75.33596801757812,57.71885681152344,0.001385765033774078,-31.227752685546875,-0.7551458477973938,1.1672973414533772e-05
3337,75.02311706542969,57.71101760864258,0.001386184711009264,-31.28565788269043,-0.7471374273300171,7.562637165392516e-06
3338,74.70968627929688,57.703285217285156,0.001386680523864925,-31.343496322631836,-0.7377870678901672,8.592605809099041e-06
3339,74.39568328857422,57.695648193359375,0.0013871383853256702,-31.401273727416992,-0.7285950183868408,8.850097401591484e-06
