,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0029,127.0999984741211,-2.0999999046325684,0.27075186371803284,0.0,0.0,0.0,False,False,False,0
0.0085,127.0999984741211,-2.0999999046325684,0.2704024910926819,0.0,0.0,0.0,False,False,False,0
0.0177,127.0999984741211,-2.0999999046325684,0.26597312092781067,0.0,0.0,0.0,False,False,False,0
0.0272,127.0999984741211,-2.0999999046325684,0.26503869891166687,0.0,0.0,0.0,False,False,False,0
0.0361,127.0999984741211,-2.0999999046325684,0.264912486076355,0.0,0.0,0.0,False,False,False,0
0.0427,127.0999984741211,-2.0999999046325684,0.26482000946998596,0.0,0.0,0.0,False,False,False,0
0.0512,127.0999984741211,-2.0999999046325684,0.2646982967853546,0.0,0.0,0.0,False,False,False,0
0.0607,127.0999984741211,-2.0999999046325684,0.2645646929740906,0.0,0.0,0.0,False,False,False,0
0.0703,127.0999984741211,-2.0999999046325684,0.26442772150039673,0.0,0.0,0.0,False,False,False,0
0.08,127.0999984741211,-2.0999999046325684,0.2642897665500641,0.0,0.0,0.0,False,False,False,0
0.0844,127.0999984741211,-2.0999999046325684,0.26422756910324097,0.0,0.0,0.0,False,False,False,0
0.0938,127.0999984741211,-2.0999999046325684,0.26409414410591125,0.0,0.0,0.0,False,False,False,0
0.1028,127.0999984741211,-2.0999999046325684,0.26396656036376953,0.0,0.0,0.0,False,False,False,0
0.1124,127.0999984741211,-2.0999999046325684,0.26383069157600403,0.0,0.0,0.0,False,False,False,0
0.117,127.0999984741211,-2.0999999046325684,0.263765811920166,0.0,0.0,0.0,False,False,False,0
0.1262,127.0999984741211,-2.0999999046325684,0.26363512873649597,0.0,0.0,0.0,False,False,False,0
0.1356,127.0999984741211,-2.0999999046325684,0.26350101828575134,0.0,0.0,0.0,False,False,False,0
0.1442,127.0999984741211,-2.0999999046325684,0.2633800208568573,0.0,0.0,0.0,False,False,False,0
0.1537,127.0999984741211,-2.0999999046325684,0.2632451355457306,0.0,0.0,0.0,False,False,False,0
0.1634,127.0999984741211,-2.0999999046325684,0.263107568025589,0.0,0.0,0.0,False,False,False,0
0.1679,127.0999984741211,-2.0999999046325684,0.26304343342781067,0.0,0.0,0.0,False,False,False,0
0.1773,127.0999984741211,-2.0999999046325684,0.26291048526763916,0.0,0.0,0.0,False,False,False,0
0.187,127.0999984741211,-2.0999999046325684,0.24813376367092133,0.0,0.0,0.0,False,False,False,0
0.1952,127.0999984741211,-2.0999999046325684,0.23558102548122406,0.0,0.0,0.0,False,False,False,0
0.2009,127.0999984741211,-2.0999999046325684,0.22687703371047974,0.0,0.0,0.0,False,False,False,0
0.2098,127.0999984741211,-2.0999999046325684,0.21317879855632782,0.0,0.0,0.0,False,False,False,0
0.2188,127.0999984741211,-2.0999999046325684,0.19946503639221191,0.0,0.0,0.0,False,False,False,0
0.2284,127.0999984741211,-2.0999999046325684,0.1888626217842102,0.0,0.0,0.0,False,False,False,0
0.2375,127.0999984741211,-2.0999999046325684,0.18326173722743988,0.0,0.0,0.0,False,False,False,0
0.2425,127.0999984741211,-2.0999999046325684,0.1801757961511612,0.0,0.0,0.0,False,False,False,0
0.2511,127.0999984741211,-2.0999999046325684,0.17479991912841797,0.0,0.0,0.0,False,False,False,0
0.2603,127.0999984741211,-2.0999999046325684,0.1719975471496582,0.0,0.0,0.0,False,False,False,0
0.2698,127.0999984741211,-2.0999999046325684,0.16933339834213257,0.0,0.0,0.0,False,False,False,0
0.2789,127.0999984741211,-2.0999999046325684,0.16733844578266144,0.0,0.0,0.0,False,False,False,0
0.2839,127.0999984741211,-2.0999999046325684,0.16670657694339752,0.0,0.0,0.0,False,False,False,0
0.2932,127.0999984741211,-2.0999999046325684,0.16553090512752533,0.0,0.0,0.0,False,False,False,0
0.3023,127.0999984741211,-2.0999999046325684,0.16437062621116638,0.0,0.0,0.0,False,False,False,0
0.3117,127.0999984741211,-2.0999999046325684,0.16313603520393372,0.0,0.0,0.0,False,False,False,0
0.321,127.0999984741211,-2.0999999046325684,0.16188941895961761,0.0,0.0,0.0,False,False,False,0
0.3256,127.0999984741211,-2.0999999046325684,0.16128253936767578,0.0,0.0,0.0,False,False,False,0
0.3355,127.0999984741211,-2.0999999046325684,0.16003745794296265,0.0,0.0,0.0,False,False,False,0
0.3443,127.0999984741211,-2.0999999046325684,0.1594071090221405,0.0,0.0,0.0,False,False,False,0
0.3538,127.0999984741211,-2.0999999046325684,0.15872032940387726,0.0,0.0,0.0,False,False,False,0
0.3625,127.0999984741211,-2.0999999046325684,0.1580934077501297,0.0,0.0,0.0,False,False,False,0
0.3673,127.0999984741211,-2.0999999046325684,0.15771234035491943,0.0,0.0,0.0,False,False,False,0
0.3766,127.0999984741211,-2.0999999046325684,0.15688258409500122,0.0,0.0,0.0,False,False,False,0
0.3856,127.0999984741211,-2.0999999046325684,0.15617264807224274,0.0,0.0,0.0,False,False,False,0
0.3947,127.0999984741211,-2.0999999046325684,0.15586137771606445,0.0,0.0,0.0,False,False,False,0
0.4043,127.0999984741211,-2.0999999046325684,0.15553222596645355,0.0,0.0,0.0,False,False,False,0
0.4084,127.0999984741211,-2.0999999046325684,0.1554156243801117,0.0,0.0,0.0,False,False,False,0
0.4183,127.0999984741211,-2.0999999046325684,0.1551516205072403,0.0,0.0,0.0,False,False,False,0
0.4274,127.0999984741211,-2.0999999046325684,0.15491753816604614,0.0,0.0,0.0,False,False,False,0
0.4365,127.0999984741211,-2.0999999046325684,0.1547422558069229,0.0,0.0,0.0,False,False,False,0
0.4418,127.0999984741211,-2.0999999046325684,0.15464137494564056,0.0,0.0,0.0,False,False,False,0
0.4505,127.0999984741211,-2.0999999046325684,0.15450239181518555,0.0,0.0,0.0,False,False,False,0
0.4596,127.0999984741211,-2.0999999046325684,0.15440374612808228,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4691,127.0999984741211,-2.0999999046325684,0.15430018305778503,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4779,127.0999984741211,-2.0999999046325684,0.15420272946357727,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4874,127.0999984741211,-2.0999999046325684,0.15409217774868011,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4922,127.0999984741211,-2.0999999046325684,0.15403734147548676,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5013,127.0999984741211,-2.0999999046325684,0.15395890176296234,1.0,-1.9647597074508667,1.0,False,False,False,0
0.511,127.0999984741211,-2.0999999046325684,0.15390174090862274,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5202,127.0999984741211,-2.0999999046325684,0.15385793149471283,1.0,-1.9647597074508667,1.0,False,False,False,0
